"new_method_p_layer_circuit_384","new_method_censored_circuit_384","old_gray_trotter_method","instance"
49.4085526315789,34.2578947368421,38.5506578947368,"instance_1"
50.83125,48.58125,78.8089285714286,"instance_10"
22.6942857142857,25.892380952381,12.0857142857143,"instance_11"
22.7944055944056,28.4937062937063,24.4713286713287,"instance_12"
55.0206896551724,42.7991379310345,51.9603448275862,"instance_13"
34.368,11.462,19.898,"instance_14"
39.3333333333334,44.0733333333333,23.4971428571429,"instance_15"
42.698275862069,41.2560344827586,15.8974137931035,"instance_16"
49.388785046729,48.1691588785047,47.7644859813084,"instance_17"
10.4655172413793,17.7528735632184,6.95632183908046,"instance_18"
35.6507352941177,35.4227941176471,31.4183823529412,"instance_19"
26.3073684210526,23.6842105263158,34.1684210526316,"instance_2"
17.3282442748091,66.1839694656488,22.9106870229008,"instance_20"
17.2300751879699,37.9503759398496,18.2240601503759,"instance_21"
35.3752136752137,40.5521367521368,69.8299145299145,"instance_22"
26.99375,29.219375,28.39625,"instance_23"
25.9858208955224,31.9328358208955,15.4649253731343,"instance_24"
30.9379562043796,27.8700729927007,73.2649635036496,"instance_25"
17.1591666666667,21.1075,11.9,"instance_26"
44.3847328244275,38.075572519084,24.7526717557252,"instance_27"
44.3219047619048,47.112380952381,89.6533333333333,"instance_28"
53.2507936507937,39.5690476190476,27.481746031746,"instance_29"
27.3857142857143,26.4742857142857,37.795,"instance_3"
28.5385093167702,26.6627329192547,45.1509316770186,"instance_30"
22.2336134453782,23.9924369747899,19.618487394958,"instance_31"
44.448322147651,36.8234899328859,49.1026845637584,"instance_32"
31.0380952380952,21.572619047619,56.6666666666667,"instance_33"
17.2608695652174,40.3078260869565,50.5895652173913,"instance_34"
47.5167938931298,29.087786259542,19.7,"instance_35"
31.0679487179487,32.2525641025641,60.5282051282051,"instance_36"
15.4530973451327,50.8238938053097,68.5026548672566,"instance_37"
11.6274809160305,22.4221374045801,60.6297709923664,"instance_38"
28.8152,28.3128,57.8664,"instance_39"
23.1739495798319,27.2857142857143,20.6831932773109,"instance_4"
15.215625,15.64375,40.49296875,"instance_40"
32.5419117647059,34.8897058823529,11.2470588235294,"instance_41"
27.1845070422535,14.8232394366197,20.1950704225352,"instance_42"
14.1704697986577,30.6409395973154,16.6651006711409,"instance_43"
52.548905109489,48.5620437956204,63.1700729927007,"instance_44"
27.0113821138211,28.0544715447155,30.4804878048781,"instance_45"
14.3798561151079,16.4884892086331,12.763309352518,"instance_46"
30.3813008130081,51.2975609756098,23.3837398373984,"instance_47"
30.3432,35.0416,27.3048,"instance_48"
16.2653543307087,34.7637795275591,18.1574803149606,"instance_49"
22.0806666666667,19.3226666666667,18.2953333333334,"instance_5"
32.0206106870229,19.112213740458,21.8793893129771,"instance_6"
41.7168067226891,22.4436974789916,74.6529411764706,"instance_7"
24.2681818181818,28.2333333333333,19.7340909090909,"instance_8"
34.3064748201439,24.373381294964,57.0179856115108,"instance_9"
